,name,city,state,url,rank,tuition,enroll,rank,blurb,salary,employment_rate
0,New York University (Stern),New York,NY,https://www.usnews.com/best-graduate-schools/top-business-schools/new-york-university-01152,10,76780.0,668.0,10,"The Leonard N. Stern School of Business at New York University (Stern) offers these departments and concentrations: accounting, arts administration, consulting, e-commerce, economics, entrepreneurship, finance, general management, health care administration, international business, leadership, manufacturing and technology management, marketing, management information systems, not-for-profit management, production/operations management, organizational behavior, real estate, supply chain management/logistics, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $76,780 per year; part-time: $2,375 per credit; executive: $204,000 total program; and specialty master's: $54,554 total program. At graduation, 79.10 percent of graduates of the full-time program are employed.","$143,858",79.1%
1,Duke University (Fuqua),Durham,NC,https://www.usnews.com/best-graduate-schools/top-business-schools/duke-university-01161,12,70000.0,798.0,12,"The Fuqua School of Business at Duke University (Fuqua) offers these departments and concentrations: accounting, consulting, economics, entrepreneurship, ethics, finance, general management, health care administration, leadership, marketing, not-for-profit management, production/operations management, organizational behavior, supply chain management/logistics, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $70,000 per year; executive: $149,500 total program; and specialty master's: $69,800 total program. At graduation, 84.80 percent of graduates of the full-time program are employed.","$135,935",84.8%
2,University of Michigan--Ann Arbor (Ross),Ann Arbor,MI,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-michigan-ann-arbor-01121,13,66048.0,758.0,13,"The Stephen M. Ross School of Business at University of Michigan--Ann Arbor (Ross) offers these departments and concentrations: accounting, consulting, economics, entrepreneurship, finance, general management, health care administration, human resources management, international business, leadership, manufacturing and technology management, marketing, production/operations management, organizational behavior, portfolio management, public policy, real estate, supply chain management/logistics, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $66,048 per year (in-state); full-time: $71,048 per year (out-of-state); part-time: $64,109 per year (in-state); part-time: $69,015 per year (out-of-state); executive: $168,500 total program (in-state); and executive: $173,500 total program (out-of-state). At graduation, 79.50 percent of graduates of the full-time program are employed.","$136,679",79.5%
3,University of Virginia (Darden),Charlottesville,VA,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-virginia-main-campus-01234,13,66436.0,733.0,13,"The Darden School of Business at University of Virginia (Darden) offers these departments and concentrations: accounting, consulting, e-commerce, economics, entrepreneurship, ethics, finance, general management, international business, leadership, manufacturing and technology management, marketing, not-for-profit management, production/operations management, organizational behavior, portfolio management, supply chain management/logistics, quantitative analysis/statistics and operations research, tax, and technology. Its tuition is full-time: $66,436 per year (in-state); full-time: $68,754 per year (out-of-state); executive: $136,030 total program (in-state); executive: $136,030 total program (out-of-state); specialty master's: $59,600 total program (in-state); and specialty master's: $59,600 total program (out-of-state). At graduation, 83.90 percent of graduates of the full-time program are employed.","$139,945",83.9%
4,Cornell University (Johnson),Ithaca,NY,https://www.usnews.com/best-graduate-schools/top-business-schools/cornell-university-01149,15,71940.0,571.0,15,"The Samuel Curtis Johnson Graduate School of Management at Cornell University (Johnson) offers these departments and concentrations: accounting, consulting, economics, entrepreneurship, ethics, finance, general management, health care administration, hotel administration, human resources management, international business, leadership, manufacturing and technology management, marketing, management information systems, not-for-profit management, production/operations management, organizational behavior, portfolio management, real estate, supply chain management/logistics, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $71,940 per year; executive: $202,536 total program; and specialty master's: $58,586 per year. At graduation, 84.60 percent of graduates of the full-time program are employed.","$138,767",84.6%
5,Carnegie Mellon University (Tepper),Pittsburgh,PA,https://www.usnews.com/best-graduate-schools/top-business-schools/carnegie-mellon-university-01188,16,70000.0,340.0,16,"The Tepper School of Business at Carnegie Mellon University (Tepper) offers these departments and concentrations: accounting, economics, entrepreneurship, finance, leadership, marketing, management information systems, production/operations management, organizational behavior, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $70,000 per year; part-time: $52,500 per year; and specialty master's: $68,500 per year. At graduation, 80.90 percent of graduates of the full-time program are employed.","$135,035",80.9%
6,University of Southern California (Marshall),Los Angeles,CA,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-southern-california-01034,16,61500.0,435.0,16,"The Marshall School of Business at University of Southern California (Marshall) offers these departments and concentrations: accounting, consulting, economics, entrepreneurship, finance, general management, health care administration, human resources management, international business, leadership, marketing, management information systems, not-for-profit management, production/operations management, organizational behavior, portfolio management, real estate, sports business, supply chain management/logistics, quantitative analysis/statistics and operations research, tax, and technology. Its tuition is full-time: $61,500 per year; part-time: $2,050 per credit; executive: $125,153 total program; and specialty master's: $2,050 per credit. At graduation, 74.90 percent of graduates of the full-time program are employed.","$132,844",74.9%
7,University of California--Los Angeles (Anderson),Los Angeles,CA,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-california-los-angeles-01031,18,65049.0,694.0,18,"The Anderson School of Management at University of California--Los Angeles (Anderson) offers these departments and concentrations: accounting, consulting, economics, entrepreneurship, finance, general management, health care administration, human resources management, international business, leadership, manufacturing and technology management, marketing, production/operations management, organizational behavior, portfolio management, real estate, and technology. Its tuition is full-time: $65,049 per year (in-state); full-time: $65,049 per year (out-of-state); part-time: $1,607 per credit (in-state); part-time: $1,607 per credit (out-of-state); executive: $83,996 per year (in-state); and executive: $83,996 per year (out-of-state). At graduation, 63.70 percent of graduates of the full-time program are employed.","$132,460",63.7%
8,University of Texas--Austin (McCombs),Austin,TX,https://www.usnews.com/best-graduate-schools/top-business-schools/the-university-of-texas-at-austin-01222,18,51020.0,491.0,18,"The McCombs School of Business at University of Texas--Austin (McCombs) offers these departments and concentrations: accounting, consulting, entrepreneurship, finance, general management, international business, marketing, management information systems, not-for-profit management, production/operations management, portfolio management, public policy, real estate, and supply chain management/logistics. Its tuition is full-time: $51,020 per year (in-state); full-time: $56,572 per year (out-of-state); part-time: $117,000 total program (in-state); executive: $133,000 total program (in-state); specialty master's: $43,000 total program (in-state); and specialty master's: $48,000 total program (out-of-state). At graduation, 77.20 percent of graduates of the full-time program are employed.","$128,586",77.2%
9,University of North Carolina--Chapel Hill (Kenan-Flagler),Chapel Hill,NC,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-north-carolina-at-chapel-hill-01165,20,48051.0,593.0,20,"The Kenan-Flagler Business School at University of North Carolina--Chapel Hill (Kenan-Flagler) offers these departments and concentrations: accounting, consulting, entrepreneurship, finance, general management, health care administration, leadership, marketing, production/operations management, organizational behavior, portfolio management, real estate, supply chain management/logistics, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $48,051 per year (in-state) and full-time: $63,174 per year (out-of-state). At graduation, 74.40 percent of graduates of the full-time program are employed.","$126,957",74.4%
0,Georgetown University (McDonough),Washington,DC,https://www.usnews.com/best-graduate-schools/top-business-schools/georgetown-university-01042,21,57850.0,509.0,21,"The Robert Emmett McDonough School of Business at Georgetown University (McDonough) offers these departments and concentrations: accounting, consulting, e-commerce, economics, entrepreneurship, ethics, finance, general management, health care administration, human resources management, international business, leadership, manufacturing and technology management, marketing, management information systems, not-for-profit management, production/operations management, organizational behavior, public policy, real estate, sports business, supply chain management/logistics, quantitative analysis/statistics and operations research, tax, and technology. Its tuition is full-time: $57,850 per year; part-time: $2,121 per credit; and executive: $144,600 total program. At graduation, 73 percent of graduates of the full-time program are employed.","$128,162",73%
1,University of Washington (Foster),Seattle,WA,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-washington-seattle-campus-01240,22,35610.0,227.0,22,"The Michael G. Foster School of Business at University of Washington (Foster) offers these departments and concentrations: accounting, consulting, economics, entrepreneurship, finance, general management, health care administration, international business, leadership, manufacturing and technology management, marketing, management information systems, not-for-profit management, production/operations management, organizational behavior, portfolio management, public administration, real estate, supply chain management/logistics, quantitative analysis/statistics and operations research, and transportation. Its tuition is full-time: $35,610 per year (in-state); full-time: $52,452 per year (out-of-state); part-time: $26,712 per year (in-state); part-time: $26,712 per year (out-of-state); executive: $120,000 total program (in-state); and executive: $120,000 total program (out-of-state). At graduation, 80.80 percent of graduates of the full-time program are employed.","$125,474",80.8%
2,Indiana University (Kelley),Bloomington,IN,https://www.usnews.com/best-graduate-schools/top-business-schools/indiana-university-bloomington-01080,23,27865.0,225.0,23,"The Kelley School of Business at Indiana University (Kelley) offers these departments and concentrations: accounting, consulting, entrepreneurship, finance, general management, health care administration, marketing, and supply chain management/logistics. Its tuition is full-time: $27,865 per year (in-state); full-time: $51,454 per year (out-of-state); part-time: $23,085 per year (in-state); and part-time: $39,339 per year (out-of-state). At graduation, 75.80 percent of graduates of the full-time program are employed.","$120,310",75.8%
3,Vanderbilt University (Owen),Nashville,TN,https://www.usnews.com/best-graduate-schools/top-business-schools/vanderbilt-university-01208,23,60750.0,329.0,23,"The Owen Graduate School of Management at Vanderbilt University (Owen) offers these departments and concentrations: accounting, consulting, entrepreneurship, finance, general management, health care administration, human resources management, international business, marketing, production/operations management, organizational behavior, real estate, and quantitative analysis/statistics and operations research. Its tuition is full-time: $60,750 per year; executive: $60,750 per year; and specialty master's: $60,750 per year. At graduation, 74.50 percent of graduates of the full-time program are employed.","$126,137",74.5%
4,Rice University (Jones),Houston,TX,https://www.usnews.com/best-graduate-schools/top-business-schools/rice-university-01320,25,60940.0,281.0,25,"The Jesse H. Jones Graduate School of Business at Rice University (Jones) offers these departments and concentrations: accounting, entrepreneurship, finance, general management, health care administration, marketing, and real estate. Its tuition is full-time: $60,940 per year; part-time: $109,930 total program; executive: $131,630 total program; and specialty master's: $55,625 total program. At graduation, 75.70 percent of graduates of the full-time program are employed.","$123,786",75.7%
5,Emory University (Goizueta),Atlanta,GA,https://www.usnews.com/best-graduate-schools/top-business-schools/emory-university-01055,26,67100.0,286.0,26,"The Goizueta Business School at Emory University (Goizueta) offers these departments and concentrations: accounting, consulting, entrepreneurship, finance, general management, health care administration, international business, leadership, marketing, management information systems, production/operations management, organizational behavior, real estate, supply chain management/logistics, and quantitative analysis/statistics and operations research. Its tuition is full-time: $67,100 per year; part-time: $1,585 per credit; executive: $42,640 per year; and specialty master's: $63,040 per year. At graduation, 76.50 percent of graduates of the full-time program are employed.","$130,112",76.5%
6,University of Florida (Warrington),Gainesville,FL,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-florida-01050,26,12737.0,90.0,26,"The Warrington College of Business at University of Florida (Warrington) offers these departments and concentrations: accounting, consulting, entrepreneurship, finance, general management, human resources management, international business, marketing, management information systems, production/operations management, real estate, and supply chain management/logistics. Its tuition is full-time: $12,737 per year (in-state); full-time: $30,130 per year (out-of-state); part-time: $32,971 per year (in-state); part-time: $32,971 per year (out-of-state); executive: $61,000 total program (in-state); and executive: $61,000 total program (out-of-state). At graduation, 76.60 percent of graduates of the full-time program are employed.","$109,466",76.6%
7,Georgia Institute of Technology (Scheller),Atlanta,GA,https://www.usnews.com/best-graduate-schools/top-business-schools/georgia-institute-of-technology-01056,28,29508.0,157.0,28,"The Scheller College of Business at Georgia Institute of Technology (Scheller) offers these departments and concentrations: accounting, consulting, entrepreneurship, ethics, finance, general management, human resources management, international business, leadership, marketing, management information systems, production/operations management, organizational behavior, real estate, supply chain management/logistics, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $29,508 per year (in-state); full-time: $40,752 per year (out-of-state); part-time: $1,132 per credit (in-state); part-time: $1,548 per credit (out-of-state); executive: $82,500 total program (in-state); and executive: $82,500 total program (out-of-state). At graduation, 76.70 percent of graduates of the full-time program are employed.","$121,045",76.7%
8,University of Minnesota--Twin Cities (Carlson),Minneapolis,MN,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-minnesota-twin-cities-01126,28,40176.0,139.0,28,"The Carlson School of Management at University of Minnesota--Twin Cities (Carlson) offers these departments and concentrations: accounting, consulting, e-commerce, entrepreneurship, finance, general management, health care administration, human resources management, international business, marketing, management information systems, production/operations management, organizational behavior, portfolio management, public policy, supply chain management/logistics, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $40,176 per year (in-state); full-time: $51,456 per year (out-of-state); part-time: $1,581 per credit (in-state); part-time: $1,581 per credit (out-of-state); executive: $123,600 total program (in-state); and executive: $123,600 total program (out-of-state). At graduation, 76.90 percent of graduates of the full-time program are employed.","$116,995",76.9%
9,Arizona State University (W.P. Carey),Tempe,AZ,https://www.usnews.com/best-graduate-schools/top-business-schools/arizona-state-university-01007,30,28720.0,131.0,30,"The W. P. Carey School of Business at Arizona State University (W.P. Carey) offers these departments and concentrations: accounting, consulting, economics, entrepreneurship, ethics, finance, general management, health care administration, international business, leadership, marketing, management information systems, production/operations management, organizational behavior, portfolio management, real estate, sports business, supply chain management/logistics, quantitative analysis/statistics and operations research, tax, technology, and transportation. Its tuition is full-time: $28,720 per year (in-state); full-time: $48,400 per year (out-of-state); part-time: $27,970 per year (in-state); part-time: $27,970 per year (out-of-state); executive: $41,220 per year (in-state); executive: $41,220 per year (out-of-state); specialty master's: $26,720 per year (in-state); and specialty master's: $46,400 per year (out-of-state). At graduation, 63.20 percent of graduates of the full-time program are employed.","$105,861",63.2%
0,Brigham Young University (Marriott),Provo,UT,https://www.usnews.com/best-graduate-schools/top-business-schools/brigham-young-university-01225,31,13860.0,256.0,31,"The Marriott School of Business at Brigham Young University (Marriott) offers these departments and concentrations: consulting, entrepreneurship, finance, health care administration, human resources management, international business, manufacturing and technology management, marketing, management information systems, production/operations management, organizational behavior, and supply chain management/logistics. Its tuition is full-time: $13,860 per year (LDS member). At graduation, 71.90 percent of graduates of the full-time program are employed.","$108,371",71.9%
1,University of Texas--Dallas,Richardson,TX,https://www.usnews.com/best-graduate-schools/top-business-schools/the-university-of-texas-at-dallas-01371,31,14721.0,105.0,31,"The Naveen Jindal School of Management at University of Texas--Dallas offers these departments and concentrations: accounting, entrepreneurship, finance, general management, health care administration, international business, marketing, management information systems, production/operations management, organizational behavior, real estate, supply chain management/logistics, and technology. Its tuition is full-time: $14,721 per year (in-state); full-time: $29,166 per year (out-of-state); part-time: $19,546 per year (in-state); part-time: $36,499 per year (out-of-state); executive: $90,000 total program (in-state); executive: $90,000 total program (out-of-state); specialty master's: $14,560 per year (in-state); and specialty master's: $28,610 per year (out-of-state). At graduation, 63.30 percent of graduates of the full-time program are employed.","$101,600",63.3%
2,Ohio State University (Fisher),Columbus,OH,https://www.usnews.com/best-graduate-schools/top-business-schools/ohio-state-university-columbus-01174,33,30120.0,134.0,33,"The Max M. Fisher College of Business at Ohio State University (Fisher) offers these departments and concentrations: accounting, consulting, entrepreneurship, finance, general management, human resources management, international business, leadership, marketing, production/operations management, organizational behavior, real estate, and supply chain management/logistics. Its tuition is full-time: $30,120 per year (in-state); full-time: $53,708 per year (out-of-state); part-time: $1,594 per credit (in-state); part-time: $2,904 per credit (out-of-state); executive: $25,000 total program (in-state); and executive: $25,000 total program (out-of-state). At graduation, 70.70 percent of graduates of the full-time program are employed.","$110,484",70.7%
3,Pennsylvania State University--University Park (Smeal),University Park,PA,https://www.usnews.com/best-graduate-schools/top-business-schools/pennsylvania-state-university-main-campus-01192,33,26938.0,107.0,33,"The Smeal College of Business at Pennsylvania State University--University Park (Smeal) offers these departments and concentrations: consulting, entrepreneurship, finance, general management, health care administration, leadership, marketing, production/operations management, real estate, supply chain management/logistics, and quantitative analysis/statistics and operations research. Its tuition is full-time: $26,938 per year (in-state); full-time: $43,296 per year (out-of-state); executive: $88,836 total program (in-state); and executive: $88,836 total program (out-of-state). At graduation, 76.50 percent of graduates of the full-time program are employed.","$114,723",76.5%
4,University of Rochester (Simon),Rochester,NY,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-rochester-01159,33,48000.0,232.0,33,"The Simon Business School at University of Rochester (Simon) offers these departments and concentrations: accounting, consulting, entrepreneurship, finance, general management, health care administration, international business, marketing, management information systems, and production/operations management. Its tuition is full-time: $48,000 per year; part-time: $106,950 total program; and executive: $93,240 total program. At graduation, 74.10 percent of graduates of the full-time program are employed.","$115,833",74.1%
5,University of Notre Dame (Mendoza),Notre Dame,IN,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-notre-dame-01082,36,58030.0,275.0,36,"The Mendoza College of Business at University of Notre Dame (Mendoza) offers these departments and concentrations: consulting, entrepreneurship, finance, leadership, marketing, production/operations management, and supply chain management/logistics. Its tuition is full-time: $58,030 per year; executive: $135,963 total program; and specialty master's: $44,900 total program. At graduation, 62.90 percent of graduates of the full-time program are employed.","$113,149",62.9%
6,Washington University in St. Louis (Olin),St. Louis,MO,https://www.usnews.com/best-graduate-schools/top-business-schools/washington-university-in-st-louis-01134,36,64250.0,197.0,36,"The Olin Business School at Washington University in St. Louis (Olin) offers these departments and concentrations: accounting, consulting, economics, entrepreneurship, ethics, finance, general management, health care administration, international business, leadership, marketing, production/operations management, organizational behavior, portfolio management, real estate, sports business, supply chain management/logistics, and quantitative analysis/statistics and operations research. Its tuition is full-time: $64,250 per year; part-time: $1,860 per credit; and specialty master's: $66,025 per year. At graduation, 61.10 percent of graduates of the full-time program are employed.","$113,822",61.1%
7,Texas A&M University--College Station (Mays),College Station,TX,https://www.usnews.com/best-graduate-schools/top-business-schools/texas-a-m-university-01216,38,61629.0,143.0,38,"The Mays Business School at Texas A&M University--College Station (Mays) offers these departments and concentrations: accounting, economics, entrepreneurship, ethics, finance, general management, health care administration, human resources management, international business, leadership, marketing, production/operations management, supply chain management/logistics, and quantitative analysis/statistics and operations research. Its tuition is full-time: $61,629 total program (in-state); full-time: $87,323 total program (out-of-state); part-time: $99,500 total program (in-state); executive: $99,500 total program (in-state); specialty master's: $15,200 total program (in-state); and specialty master's: $33,937 total program (out-of-state). At graduation, 77.60 percent of graduates of the full-time program are employed.","$113,232",77.6%
8,Michigan State University (Broad),East Lansing,MI,https://www.usnews.com/best-graduate-schools/top-business-schools/michigan-state-university-01118,39,33098.0,143.0,39,"The Eli Broad Graduate School of Management at Michigan State University (Broad) offers these departments and concentrations: accounting, consulting, entrepreneurship, finance, general management, hotel administration, human resources management, international business, leadership, marketing, management information systems, production/operations management, organizational behavior, supply chain management/logistics, and quantitative analysis/statistics and operations research. Its tuition is full-time: $33,098 per year (in-state); full-time: $52,458 per year (out-of-state); executive: $80,000 total program (in-state); and executive: $80,000 total program (out-of-state). At graduation, 72.30 percent of graduates of the full-time program are employed.","$110,311",72.3%
9,University of Georgia (Terry),Athens,GA,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-georgia-01059,39,13587.0,112.0,39,"The Terry College of Business at University of Georgia (Terry) offers these departments and concentrations: consulting, entrepreneurship, finance, health care administration, human resources management, insurance, leadership, marketing, management information systems, production/operations management, and real estate. Its tuition is full-time: $13,587 per year (in-state); full-time: $32,606 per year (out-of-state); part-time: $56,400 total program (in-state); part-time: $72,000 total program (out-of-state); executive: $77,000 total program (in-state); and executive: $77,000 total program (out-of-state). At graduation, 72.20 percent of graduates of the full-time program are employed.","$112,396",72.2%
0,University of Tennessee--Knoxville (Haslam),Knoxville,TN,https://www.usnews.com/best-graduate-schools/top-business-schools/the-university-of-tennessee-01207,39,11468.0,99.0,39,"The Haslam College of Business at University of Tennessee--Knoxville (Haslam) offers these departments and concentrations: consulting, entrepreneurship, finance, and supply chain management/logistics. Its tuition is full-time: $11,468 per year (in-state) and full-time: $29,656 per year (out-of-state). At graduation, 79.30 percent of graduates of the full-time program are employed.","$94,609",79.3%
1,University of Maryland--College Park (Smith),College Park,MD,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-maryland-college-park-01104,42,92232.0,139.0,42,"The Robert H. Smith School of Business at University of Maryland--College Park (Smith) offers these departments and concentrations: accounting, consulting, e-commerce, entrepreneurship, finance, general management, international business, leadership, marketing, management information systems, production/operations management, organizational behavior, portfolio management, public policy, supply chain management/logistics, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $92,232 total program (in-state); full-time: $113,292 total program (out-of-state); part-time: $90,828 total program (in-state); part-time: $90,828 total program (out-of-state); executive: $129,900 total program (in-state); executive: $129,900 total program (out-of-state); specialty master's: $1,582 per credit (in-state); and specialty master's: $2,015 per credit (out-of-state). At graduation, 73.50 percent of graduates of the full-time program are employed.","$115,268",73.5%
2,University of Wisconsin--Madison,Madison,WI,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-wisconsin-madison-01245,42,23365.0,162.0,42,"The Wisconsin School of Business at University of Wisconsin--Madison offers these departments and concentrations: accounting, arts administration, entrepreneurship, finance, general management, human resources management, insurance, manufacturing and technology management, marketing, production/operations management, organizational behavior, portfolio management, real estate, supply chain management/logistics, and tax. Its tuition is full-time: $23,365 per year (in-state); full-time: $47,013 per year (out-of-state); part-time: $21,128 per year (in-state); part-time: $21,128 per year (out-of-state); executive: $42,320 per year (in-state); executive: $42,320 per year (out-of-state); specialty master's: $23,365 per year (in-state); and specialty master's: $47,013 per year (out-of-state). At graduation, 54.30 percent of graduates of the full-time program are employed.","$107,397",54.3%
3,Boston College (Carroll),Chestnut Hill,MA,https://www.usnews.com/best-graduate-schools/top-business-schools/boston-college-01107,44,55380.0,154.0,44,"The Carroll School of Management at Boston College (Carroll) offers these departments and concentrations: accounting, consulting, finance, general management, international business, leadership, manufacturing and technology management, marketing, management information systems, production/operations management, organizational behavior, portfolio management, supply chain management/logistics, quantitative analysis/statistics and operations research, tax, and technology. Its tuition is full-time: $55,380 per year; part-time: $1,886 per credit; and specialty master's: $1,814 per credit. At graduation, 60.30 percent of graduates of the full-time program are employed.","$108,659",60.3%
4,Purdue University--West Lafayette (Krannert),West Lafayette,IN,https://www.usnews.com/best-graduate-schools/top-business-schools/purdue-university-main-campus-01083,44,9992.0,83.0,44,"The Krannert School of Management at Purdue University--West Lafayette (Krannert) offers these departments and concentrations: accounting, consulting, e-commerce, entrepreneurship, finance, general management, human resources management, industrial management, manufacturing and technology management, marketing, management information systems, production/operations management, organizational behavior, supply chain management/logistics, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $9,992 per year (in-state); full-time: $19,766 per year (out-of-state); part-time: $50,984 total program (in-state); part-time: $59,984 total program (out-of-state); executive: $85,000 total program (in-state); and executive: $85,000 total program (out-of-state). At graduation, 58.10 percent of graduates of the full-time program are employed.","$94,816",58.1%
